iter	Passed	Remaining
274	10251	27026
275	10286	26984
276	10322	26943
277	10364	26919
278	10408	26897
279	10444	26856
280	10480	26815
281	10515	26772
282	10549	26727
283	10583	26683
284	10619	26641
285	10653	26596
286	10688	26552
287	10725	26515
288	10762	26477
289	10799	26439
290	10834	26398
291	10873	26365
292	10911	26328
293	10948	26290
294	10985	26253
295	11022	26216
296	11061	26182
297	11102	26153
298	11142	26122
299	11178	26082
300	11214	26043
301	11252	26007
302	11288	25966
303	11327	25932
304	11368	25904
305	11406	25869
306	11442	25829
307	11478	25789
308	11512	25743
309	11546	25701
310	11580	25656
311	11616	25615
312	11653	25578
313	11689	25537
314	11722	25492
315	11757	25450
316	11792	25408
317	11828	25367
318	11862	25323
319	11896	25279
320	11932	25240
321	11967	25198
322	12001	25154
323	12036	25112
324	12072	25072
325	12106	25030
326	12141	24988
327	12175	24945
328	12211	24904
329	12260	24892
330	12307	24874
331	12349	24847
332	12383	24803
333	12416	24759
334	12452	24719
335	12488	24680
336	12530	24652
337	12572	24624
338	12609	24587
339	12647	24551
340	12686	24517
341	12724	24482
342	12759	24439
343	12796	24401
344	12838	24375
345	12884	24354
346	12938	24348
347	13002	24360
348	13089	24416
349	13147	24417
350	13207	24419
351	13285	24458
352	13361	24489
353	13443	24532
354	13499	24527
355	13558	24526
356	13606	24507
357	13655	24487
358	13698	24458
359	13746	24438
360	13794	24417
361	13859	24425
362	13907	24405
363	13959	24390
364	14010	24375
365	14057	24351
366	14101	24322
367	14145	24293
368	14200	24282
369	14241	24248
370	14278	24208
371	14317	24171
372	14359	24138
373	14396	24096
374	14432	24054
375	14469	24012
376	14505	23970
377	14542	23929
378	14578	23887
379	14615	23846
380	14651	23803
381	14687	23761
382	14727	23725
383	14765	23686
384	14802	23646
385	14839	23604
386	14875	23562
387	14911	23520
388	14948	23479
389	14985	23439
390	15022	23398
391	15058	23356
392	15094	23313
393	15132	23275
394	15170	23235
395	15208	23196
396	15250	23163
397	15286	23121
398	15323	23081
399	15361	23042
400	15407	23015
401	15448	22980
402	15486	22941
403	15524	22902
404	15564	22867
405	15604	22830
406	15642	22791
407	15680	22752
408	15721	22717
409	15760	22679
410	15798	22640
411	15839	22605
412	15876	22565
413	15912	22524
414	15951	22485
415	15988	22444
416	16024	22403
417	16061	22363
418	16097	22321
419	16135	22282
420	16171	22241
421	16209	22201
422	16245	22159
423	16283	22121
424	16320	22081
425	16358	22041
426	16394	21999
427	16430	21958
428	16466	21917
429	16502	21874
430	16538	21834
431	16575	21794
432	16612	21753
433	16650	21714
434	16686	21672
435	16733	21645
436	16772	21608
437	16809	21568
438	16847	21529
439	16883	21487
440	16919	21446
441	16956	21406
442	16992	21365
443	17028	21323
444	17064	21282
445	17100	21240
446	17135	21199
447	17172	21158
448	17208	21118
449	17247	21079
450	17285	21041
451	17322	21001
452	17362	20965
453	17418	20947
454	17456	20909
455	17493	20869
456	17531	20830
457	17568	20790
458	17606	20752
459	17643	20711
460	17680	20671
461	17716	20631
462	17752	20590
463	17790	20550
464	17832	20517
465	17883	20493
466	17922	20455
467	17964	20421
468	18005	20386
469	18048	20352
470	18088	20315
471	18126	20277
472	18164	20238
473	18206	20204
474	18247	20167
475	18287	20132
476	18334	20102
477	18376	20068
478	18413	20028
479	18453	19991
480	18490	19950
481	18527	19911
482	18565	19871
483	18604	19834
484	18643	19796
485	18680	19756
486	18722	19721
487	18759	19682
488	18802	19648
489	18842	19611
490	18877	19569
491	18914	19529
492	18950	19488
493	18987	19448
494	19025	19409
495	19060	19368
496	19096	19327
497	19132	19286
498	19167	19244
499	19204	19204
500	19246	19169
501	19283	19129
502	19320	19090
503	19358	19051
504	19401	19017
505	19438	18977
506	19476	18938
507	19519	18904
508	19562	18870
509	19608	18839
510	19650	18804
511	19690	18767
512	19728	18728
513	19769	18692
514	19808	18654
515	19845	18614
516	19882	18574
517	19923	18538
518	19961	18499
519	19999	18461
520	20036	18421
521	20073	18381
522	20108	18340
523	20145	18299
524	20181	18259
525	20221	18221
526	20256	18180
527	20292	18140
528	20328	18100
529	20364	18059
530	20399	18017
531	20436	17977
532	20471	17936
533	20507	17896
534	20545	17857
535	20581	17817
536	20618	17777
537	20653	17735
538	20689	17695
539	20725	17654
540	20761	17614
541	20797	17574
542	20834	17534
543	20870	17494
544	20908	17455
545	20944	17415
546	20980	17375
547	21017	17335
548	21054	17295
549	21089	17255
550	21125	17214
551	21161	17174
552	21227	17158
553	21267	17121
554	21303	17081
555	21344	17044
556	21389	17011
557	21428	16973
558	21467	16935
559	21508	16899
560	21545	16860
561	21583	16821
562	21622	16783
563	21663	16746
564	21699	16707
565	21738	16668
566	21777	16630
567	21814	16591
568	21849	16550
569	21884	16509
570	21922	16470
571	21959	16431
572	21998	16393
573	22036	16354
574	22074	16315
575	22111	16276
576	22147	16236
577	22184	16197
578	22222	16158
579	22258	16118
580	22298	16081
581	22336	16042
582	22373	16003
583	22409	15962
584	22447	15923
585	22485	15885
586	22521	15845
587	22557	15805
588	22594	15766
589	22631	15726
590	22665	15685
591	22701	15645
592	22736	15604
593	22774	15566
594	22809	15525
595	22845	15485
596	22880	15445
597	22916	15405
598	22952	15365
599	22988	15325
600	23023	15285
601	23059	15245
602	23096	15206
603	23133	15167
604	23169	15126
605	23207	15088
606	23244	15049
607	23281	15010
608	23318	14971
609	23362	14936
610	23405	14901
611	23442	14862
612	23478	14822
613	23514	14782
614	23549	14742
615	23585	14702
616	23623	14664
617	23658	14623
618	23694	14584
619	23730	14544
620	23767	14505
621	23803	14465
622	23840	14426
623	23876	14387
624	23913	14348
625	23948	14307
626	23984	14268
627	24021	14229
628	24057	14189
629	24093	14150
630	24128	14110
631	24164	14070
632	24205	14033
633	24242	13994
634	24281	13957
635	24316	13917
636	24351	13876
637	24386	13836
638	24424	13798
639	24470	13764
640	24510	13727
641	24551	13690
642	24591	13653
643	24631	13616
644	24672	13579
645	24714	13543
646	24754	13506
647	24794	13468
648	24834	13431
649	24870	13391
650	24908	13353
651	24946	13315
652	24988	13278
653	25029	13241
654	25069	13204
655	25105	13165
656	25142	13126
657	25179	13087
658	25219	13049
659	25258	13011
660	25303	12977
661	25353	12944
662	25403	12912
663	25440	12873
664	25481	12836
665	25520	12798
666	25557	12759
667	25595	12721
668	25636	12684
669	25674	12645
670	25712	12607
671	25751	12568
672	25786	12529
673	25823	12490
674	25859	12450
675	25896	12411
676	25932	12372
677	25967	12332
678	26005	12294
679	26045	12256
680	26086	12219
681	26138	12187
682	26188	12155
683	26233	12119
684	26278	12084
685	26318	12046
686	26358	12009
687	26403	11973
688	26441	11935
689	26478	11896
690	26516	11857
691	26554	11818
692	26591	11780
693	26627	11740
694	26664	11701
695	26700	11662
696	26737	11623
697	26774	11584
698	26811	11545
699	26847	11506
700	26883	11466
701	26919	11427
702	26956	11388
703	26992	11349
704	27027	11309
705	27063	11270
706	27099	11230
707	27135	11191
708	27171	11152
709	27209	11113
710	27245	11074
711	27282	11035
712	27317	10996
713	27363	10960
714	27401	10922
715	27437	10883
716	27475	10844
717	27511	10805
718	27547	10766
719	27582	10726
720	27619	10687
721	27656	10648
722	27692	10609
723	27728	10570
724	27764	10531
725	27801	10492
726	27836	10453
727	27872	10413
728	27909	10375
729	27945	10336
730	27981	10296
731	28021	10259
732	28061	10221
733	28101	10183
734	28139	10145
735	28179	10107
736	28219	10070
737	28259	10032
738	28300	9995
739	28337	9956
740	28377	9918
741	28419	9881
742	28458	9843
743	28493	9804
744	28530	9765
745	28566	9726
746	28603	9687
747	28640	9648
748	28677	9610
749	28713	9571
750	28749	9532
751	28786	9493
752	28822	9454
753	28868	9418
754	28913	9382
755	28949	9343
756	28986	9304
757	29022	9265
758	29057	9226
759	29094	9187
760	29130	9148
761	29166	9109
762	29203	9071
763	29239	9031
764	29274	8992
765	29311	8954
766	29352	8916
767	29390	8878
768	29429	8840
769	29465	8801
770	29500	8762
771	29536	8723
772	29572	8684
773	29608	8645
774	29645	8606
775	29681	8567
776	29716	8528
777	29752	8489
778	29788	8450
779	29824	8411
780	29860	8373
781	29895	8334
782	29931	8295
783	29966	8256
784	30003	8217
785	30039	8178
786	30077	8140
787	30116	8102
788	30152	8063
789	30189	8024
790	30224	7985
791	30260	7947
792	30296	7908
793	30333	7869
794	30367	7830
795	30404	7791
796	30441	7753
797	30476	7714
798	30511	7675
799	30552	7638
800	30590	7599
801	30631	7562
802	30671	7524
803	30709	7486
804	30747	7448
805	30785	7409
806	30825	7372
807	30861	7333
808	30901	7295
809	30940	7257
810	30978	7219
811	31015	7180
812	31051	7142
813	31086	7103
814	31124	7065
815	31162	7026
816	31200	6988
817	31236	6949
818	31278	6912
819	31328	6876
820	31376	6840
821	31420	6804
822	31469	6768
823	31514	6731
824	31558	6694
825	31600	6656
826	31641	6618
827	31684	6581
828	31728	6544
829	31769	6506
830	31808	6468
831	31848	6430
832	31888	6393
833	31929	6355
834	31970	6317
835	32011	6279
836	32055	6242
837	32097	6205
838	32140	6167
839	32190	6131
840	32233	6094
841	32278	6056
842	32317	6018
843	32360	5981
844	32411	5945
845	32453	5907
846	32495	5869
847	32537	5832
848	32580	5794
849	32620	5756
850	32661	5718
851	32699	5680
852	32738	5641
853	32777	5603
854	32818	5565
855	32877	5530
856	32923	5493
857	32959	5454
858	32995	5416
859	33031	5377
860	33067	5338
861	33103	5299
862	33140	5260
863	33178	5222
864	33217	5184
865	33253	5145
866	33293	5107
867	33329	5068
868	33370	5030
869	33410	4992
870	33445	4953
871	33482	4914
872	33517	4875
873	33553	4837
874	33590	4798
875	33624	4759
876	33661	4721
877	33697	4682
878	33733	4643
879	33770	4605
880	33805	4566
881	33845	4528
882	33881	4489
883	33916	4450
884	33951	4411
885	33989	4373
886	34024	4334
887	34061	4296
888	34097	4257
889	34134	4218
890	34171	4180
891	34206	4141
892	34243	4103
893	34279	4064
894	34314	4025
895	34348	3986
896	34385	3948
897	34420	3909
898	34456	3871
899	34492	3832
900	34528	3793
901	34566	3755
902	34602	3716
903	34637	3678
904	34672	3639
905	34708	3601
906	34744	3562
907	34780	3523
908	34815	3485
909	34850	3446
910	34885	3408
911	34922	3369
912	34961	3331
913	34999	3293
914	35037	3254
915	35077	3216
916	35114	3178
917	35154	3140
918	35195	3102
919	35236	3064
920	35275	3025
921	35315	2987
922	35360	2949
923	35402	2911
924	35439	2873
925	35475	2834
926	35510	2796
927	35548	2758
928	35586	2719
929	35624	2681
930	35659	2642
931	35695	2604
932	35733	2566
933	35769	2527
934	35805	2489
935	35841	2450
936	35878	2412
937	35914	2373
938	35950	2335
939	35987	2297
940	36023	2258
941	36058	2220
942	36095	2181
943	36132	2143
944	36169	2105
945	36205	2066
946	36242	2028
947	36278	1989
948	36315	1951
949	36351	1913
950	36388	1874
951	36424	1836
952	36461	1798
953	36496	1759
954	36533	1721
955	36569	1683
956	36604	1644
957	36640	1606
958	36677	1568
959	36714	1529
960	36749	1491
961	36785	1453
962	36821	1414
963	36856	1376
964	36893	1338
965	36928	1299
966	36964	1261
967	36999	1223
968	37036	1184
969	37073	1146
970	37110	1108
971	37147	1070
972	37185	1031
973	37220	993
974	37260	955
975	37296	917
976	37336	878
977	37380	840
978	37416	802
979	37453	764
980	37489	726
981	37525	687
982	37561	649
983	37597	611
984	37634	573
985	37670	534
986	37707	496
987	37743	458
988	37779	420
989	37814	381
990	37850	343
991	37885	305
992	37921	267
993	37959	229
994	37997	190
995	38034	152
996	38073	114
997	38111	76
998	38150	38
999	38190	0
