iter	Logloss
210	0.3998788308
211	0.3998627505
212	0.3998304045
213	0.3998122231
214	0.3996987188
215	0.3996759406
216	0.3996525275
217	0.3995856915
218	0.3995580681
219	0.3994652676
220	0.399366741
221	0.399111395
222	0.398926242
223	0.3989069698
224	0.3988860816
225	0.3988660064
226	0.3987314637
227	0.3986930253
228	0.3986740735
229	0.3985661763
230	0.3984884486
231	0.3984091045
232	0.3983935102
233	0.3983163114
234	0.3981969877
235	0.3981437096
236	0.3979671428
237	0.3979169565
238	0.3978921342
239	0.3978686135
240	0.39783853
241	0.3977416259
242	0.3977182148
243	0.3975910287
244	0.3975607188
245	0.3974039002
246	0.397370297
247	0.397292791
248	0.3972321979
249	0.3971067679
250	0.3970853188
251	0.3970298734
252	0.3969341539
253	0.3969121444
254	0.3968882834
255	0.3966372853
256	0.3965071246
257	0.3964447037
258	0.396017323
259	0.3959784495
260	0.3959409184
261	0.3959086171
262	0.3956829671
263	0.3956555202
264	0.3956178886
265	0.3955415132
266	0.3955159546
267	0.3954781113
268	0.3953752091
269	0.3953107055
270	0.3951603043
271	0.3951161159
272	0.3950903187
273	0.3949227024
274	0.3949047615
275	0.3947828029
276	0.3947158415
277	0.3946886716
278	0.3946084955
279	0.3945823438
280	0.3945508143
281	0.3945151158
282	0.3944894519
283	0.3944565909
284	0.3944367817
285	0.3943452811
286	0.3943255656
287	0.3941416695
288	0.3941266751
289	0.3939542403
290	0.3939447647
291	0.3938777854
292	0.3938581259
293	0.3938145962
294	0.3937952086
295	0.3936419326
296	0.3935149406
297	0.3934943385
298	0.3934603295
299	0.3933643576
300	0.3932875252
301	0.3932661446
302	0.393154563
303	0.3931278953
304	0.3931028997
305	0.3930758008
306	0.3930405263
307	0.3929092309
308	0.3928834616
309	0.3928567437
310	0.3928232832
311	0.3927220354
312	0.3927021671
313	0.3925106283
314	0.3924857729
315	0.3924206517
316	0.392390916
317	0.3923670497
318	0.3923400904
319	0.3922643786
320	0.392208437
321	0.3921759631
322	0.3920294136
323	0.3920022751
324	0.3918263021
325	0.3917992364
326	0.3917488232
327	0.3916882491
328	0.391327946
329	0.3913014451
330	0.3912539756
331	0.3911772711
332	0.3911569428
333	0.3911325452
334	0.3910720026
335	0.3909774854
336	0.390952113
337	0.390770088
338	0.3905535028
339	0.3905332825
340	0.3905017951
341	0.3904692578
342	0.3904507578
343	0.390421168
344	0.3903996501
345	0.3903731683
346	0.3903549769
347	0.3903310782
348	0.3903109984
349	0.3902731244
350	0.3902536447
351	0.3902185376
352	0.3901905249
353	0.3901679838
354	0.390137319
355	0.3901041454
356	0.3900755675
357	0.3900542211
358	0.390031758
359	0.3900029027
360	0.389980505
361	0.3899363197
362	0.3899090075
363	0.3898863278
364	0.3898526268
365	0.3896839315
366	0.3896624806
367	0.389641715
368	0.3893705324
369	0.3893394322
370	0.3893086091
371	0.3892787015
372	0.3892324302
373	0.3892090589
374	0.389170262
375	0.3890575133
376	0.3890145964
377	0.3889827597
378	0.3889364582
379	0.3888799713
380	0.3888520964
381	0.3888239673
382	0.3887977829
383	0.3887778407
384	0.3887429433
385	0.3886229005
386	0.3885904026
387	0.3885491517
388	0.388523315
389	0.3884934452
390	0.388445205
391	0.3883711436
392	0.3882016079
393	0.3881694191
394	0.3880368199
395	0.3879948659
396	0.3879659342
397	0.3879302971
398	0.3878966338
399	0.3878634278
400	0.3878257553
401	0.3877896231
402	0.3877578932
403	0.3877250402
404	0.3876896947
405	0.387564998
406	0.3875221944
407	0.3874576897
408	0.3873927292
409	0.3873192282
410	0.3872855629
411	0.3872083027
412	0.3871464091
413	0.3871073973
414	0.3870717337
415	0.3869964215
416	0.3869581601
417	0.3869219348
418	0.386884649
419	0.3868266913
420	0.3867899351
421	0.3867187309
422	0.3865239127
423	0.3864748282
424	0.3864244157
425	0.3863790196
426	0.3863377001
427	0.3862845996
428	0.3862441945
429	0.3862054338
430	0.386168745
431	0.3861303781
432	0.3860904255
433	0.3860287215
434	0.3859943167
435	0.3858978181
436	0.385857372
437	0.3858217084
438	0.3857793297
439	0.3857424381
440	0.3856829037
441	0.3856472429
442	0.385604556
443	0.3855646022
444	0.385526749
445	0.3854872227
446	0.3854480447
447	0.3854130396
448	0.3853536867
449	0.385297629
450	0.3852313742
451	0.3851947934
452	0.3851268482
453	0.3850909337
454	0.3850515751
455	0.3850103251
456	0.3849567451
457	0.3849147901
458	0.3848784551
459	0.3848367838
460	0.3847997389
461	0.3847607709
462	0.3847231693
463	0.3846814989
464	0.3846402761
465	0.3846018994
466	0.3845608831
467	0.3845253502
468	0.3844851104
469	0.3844472246
470	0.3844051653
471	0.3843630649
472	0.3843228619
473	0.3842656035
474	0.3842248072
475	0.3841338624
476	0.384069513
477	0.3840309566
478	0.3839946498
479	0.3839561765
480	0.3839160037
481	0.3838785793
482	0.3838396079
483	0.3837863493
484	0.3837491347
485	0.3837149782
486	0.383677631
487	0.3836384146
488	0.3835759751
489	0.3835355658
490	0.3834983892
491	0.3834609921
492	0.383394532
493	0.3833559518
494	0.3833169453
495	0.3832509625
496	0.3832133962
497	0.3831767821
498	0.3831370355
499	0.3830989418
500	0.3830615896
501	0.3830121163
502	0.3829744068
503	0.3829367703
504	0.3828990679
505	0.3828608696
506	0.3828265016
507	0.3827893932
508	0.3827539256
509	0.3827171711
510	0.3826805893
511	0.3826435187
512	0.3826076798
513	0.3825718415
514	0.3825220224
515	0.3824840313
516	0.3824310304
517	0.3823942981
518	0.3823587064
519	0.3822821745
520	0.3822457402
521	0.3822098626
522	0.3821317894
523	0.3820821504
524	0.3820399259
525	0.3820044387
526	0.3819683075
527	0.3819175159
528	0.3818813889
529	0.3818457936
530	0.38181187
531	0.3817670467
532	0.3817334553
533	0.3816987405
534	0.3816636387
535	0.3816045792
536	0.3814910847
537	0.3814518419
538	0.381419266
539	0.3813848312
540	0.3813501156
541	0.3813145889
542	0.3812799786
543	0.3812466989
544	0.3812119122
545	0.381176764
546	0.3811425644
547	0.3811081577
548	0.3809580366
549	0.3809251501
550	0.3808906108
551	0.3808562785
552	0.3808220844
553	0.3807897885
554	0.3807227844
555	0.3806885609
556	0.3806541948
557	0.3806015721
558	0.3805677642
559	0.3805338482
560	0.3804997996
561	0.3804672211
562	0.3804179982
563	0.3802296672
564	0.3801712361
565	0.380137674
566	0.3801039027
567	0.3800703429
568	0.3800364331
569	0.3800020265
570	0.3799683999
571	0.3799347746
572	0.3799012806
573	0.3798680351
574	0.3798345096
575	0.3798012993
576	0.3797673938
577	0.379733977
578	0.3796999163
579	0.3796666435
580	0.379620309
581	0.3795893841
582	0.379356817
583	0.379322837
584	0.3792911705
585	0.3792573323
586	0.3792242967
587	0.3791912681
588	0.3791581349
589	0.3791250648
590	0.3790917904
591	0.3790252284
592	0.378992442
593	0.37895945
594	0.3788884977
595	0.3788555358
596	0.3788226819
597	0.3787896855
598	0.3787571792
599	0.3787242924
600	0.3786915087
601	0.37865889
602	0.3786263535
603	0.3785933943
604	0.3785609589
605	0.3785278957
606	0.3784952517
607	0.3784626758
608	0.3784302747
609	0.3783978393
610	0.3780816091
611	0.3780507904
612	0.3780183943
613	0.3779856447
614	0.377953348
615	0.3779212305
616	0.3778883771
617	0.3778561464
618	0.3778238841
619	0.3776799294
620	0.3776476371
621	0.3776156263
622	0.3775833254
623	0.377551033
624	0.3775191534
625	0.377486746
626	0.3774549057
627	0.3774236658
628	0.377391792
629	0.3773627183
630	0.3773178461
631	0.377285975
632	0.3772533898
633	0.3772214852
634	0.3771650616
635	0.3771335304
636	0.3771019956
637	0.3770704019
638	0.3770381076
639	0.3770060814
640	0.3769743859
641	0.3769269262
642	0.3768947365
643	0.3768632017
644	0.3767882215
645	0.3767562086
646	0.3767244788
647	0.3766929869
648	0.3766613617
649	0.3766300068
650	0.3765840874
651	0.3765237395
652	0.3764920448
653	0.3764623154
654	0.376430964
655	0.3763996828
656	0.3763680935
657	0.3763367491
658	0.3763072962
659	0.3762757763
660	0.3762445969
661	0.3762131472
662	0.3761816272
663	0.376150353
664	0.376119213
665	0.3758164251
666	0.3757854951
667	0.3757535134
668	0.3757224079
669	0.3756804169
670	0.3756243074
671	0.3755932756
672	0.3753965443
673	0.3753669807
674	0.3753376031
675	0.3752921692
676	0.3752602296
677	0.3752289176
678	0.3751981581
679	0.3751664291
680	0.3751354682
681	0.3751044398
682	0.3750733053
683	0.3750438567
684	0.3750127589
685	0.3749820703
686	0.3749508321
687	0.374920081
688	0.3748622354
689	0.374831207
690	0.3747560866
691	0.3745336987
692	0.3745030109
693	0.3744718406
694	0.3744409533
695	0.3744100618
696	0.3743794161
697	0.3743483174
698	0.3743172785
699	0.3742879353
700	0.3742570824
701	0.3742263348
702	0.3741973287
703	0.3739899518
704	0.3739589858
705	0.3739280249
706	0.3738976952
707	0.3738674954
708	0.3736604121
709	0.373630114
710	0.373560502
711	0.3735297904
712	0.3734992535
713	0.3734674192
714	0.3734367735
715	0.3734064457
716	0.3733760141
717	0.3733455475
718	0.3733150106
719	0.3732717987
720	0.3732413664
721	0.3732108646
722	0.3731808901
723	0.3731502829
724	0.3731199559
725	0.3730896956
726	0.3730595764
727	0.3730292493
728	0.3729987818
729	0.3729689049
730	0.3729136826
731	0.3728832853
732	0.3728531654
733	0.3728230482
734	0.3727928631
735	0.3727628091
736	0.3727331049
737	0.3727031071
738	0.3726733425
739	0.3726432963
740	0.3726131814
741	0.3725829913
742	0.3725528047
743	0.3725223723
744	0.3724926393
745	0.3719345967
746	0.3718941901
747	0.3718642095
748	0.3718341292
749	0.3718044015
750	0.3717744959
751	0.3717464112
752	0.3717161525
753	0.3716861431
754	0.3716564727
755	0.371626709
756	0.3715972508
757	0.3715543401
758	0.3715246116
759	0.3714950938
760	0.3714650828
761	0.3714355966
762	0.3714057591
763	0.3713763983
764	0.3713469506
765	0.3713168695
766	0.3711032042
767	0.3710736513
768	0.3710443677
769	0.3710147402
770	0.3709852503
771	0.3709556966
772	0.3709262059
773	0.3708968284
774	0.3708670254
775	0.3708373312
776	0.3708082898
777	0.3707786658
778	0.3707492524
779	0.3706968023
780	0.3706672836
781	0.3706380122
782	0.3706086683
783	0.370552032
784	0.3705223651
785	0.3704931552
786	0.3704636716
787	0.3702163035
788	0.370186388
789	0.3701574634
790	0.3701280149
791	0.3700988473
792	0.3700714947
793	0.3700423903
794	0.3700131875
795	0.3699836337
796	0.3699549084
797	0.369925839
798	0.3698967037
799	0.3698674975
800	0.3698383614
801	0.3698088743
802	0.3697798751
803	0.3697506014
804	0.3697220208
805	0.3696803486
806	0.3696513846
807	0.369622561
808	0.3695934995
809	0.3695645426
810	0.3695354444
811	0.3695064172
812	0.3694771435
813	0.3694484323
814	0.3694191101
815	0.3693902892
816	0.3693615077
817	0.3693326202
818	0.3693040438
819	0.3692751843
820	0.3692461914
821	0.3692174345
822	0.3691888629
823	0.3691596953
824	0.3691309848
825	0.3691025185
826	0.3690731746
827	0.3690443214
828	0.369015186
829	0.3689863327
830	0.3689577942
831	0.3688945344
832	0.3688658575
833	0.3688372165
834	0.368808663
835	0.3687800176
836	0.368752917
837	0.3687244101
838	0.36869587
839	0.3686672985
840	0.3686385506
841	0.3686097698
842	0.3685814369
843	0.368553321
844	0.3684859952
845	0.3684572446
846	0.3684288765
847	0.3684003416
848	0.3683720473
849	0.3681998947
850	0.3681714572
851	0.3681430612
852	0.3681144848
853	0.3680859132
854	0.3680580016
855	0.3680291149
856	0.3680007891
857	0.3679726684
858	0.3679444731
859	0.3679161473
860	0.367888268
861	0.3678599738
862	0.3678316831
863	0.3678035328
864	0.3677753075
865	0.3677471572
866	0.3677187218
867	0.3676909127
868	0.3676626887
869	0.3676101644
870	0.3675820781
871	0.3675541314
872	0.3675258781
873	0.3674978963
874	0.3674701997
875	0.3674420746
876	0.3674140936
877	0.3673862944
878	0.3673581099
879	0.3673300965
880	0.3673022874
881	0.3672745837
882	0.3672469853
883	0.3672189025
884	0.367190718
885	0.3671628458
886	0.3671348359
887	0.3671068987
888	0.3670791977
889	0.3670514274
890	0.3670235579
891	0.3667828447
892	0.3667549745
893	0.3667288198
894	0.3667008344
895	0.3666731405
896	0.3666456123
897	0.3666177795
898	0.3665902865
899	0.3665498385
900	0.3665221735
901	0.3664946867
902	0.3664668181
903	0.3664384923
904	0.3661842267
905	0.3661561458
906	0.3661302669
907	0.3661023288
908	0.3660744936
909	0.3660354544
910	0.3660080055
911	0.3659803699
912	0.3659528824
913	0.3659252938
914	0.3658977059
915	0.3658700463
916	0.3658424585
917	0.3658162636
918	0.3657890569
919	0.3657616383
920	0.3657341191
921	0.3657061107
922	0.3656780263
923	0.3656510002
924	0.3656125877
925	0.3655851703
926	0.3655579975
927	0.3655305836
928	0.3655030645
929	0.3654756873
930	0.3654504158
931	0.3654232414
932	0.36539659
933	0.3653694823
934	0.3653422042
935	0.3653165773
936	0.3652893413
937	0.3652621697
938	0.3652351358
939	0.3652079586
940	0.3651805814
941	0.3651532738
942	0.3651263732
943	0.3650993077
944	0.3648884495
945	0.3648614928
946	0.3648098968
947	0.3647292127
948	0.3647019058
949	0.3646750051
950	0.3646186848
951	0.3645914481
952	0.3645644556
953	0.3645370082
954	0.3645101553
955	0.3644830589
956	0.3644558887
957	0.3644287873
958	0.3644017254
959	0.3643746878
960	0.3643479039
961	0.3643210131
962	0.3642942206
963	0.3642670189
964	0.3642403424
965	0.3642134432
966	0.3641863777
967	0.3641595973
968	0.3641347421
969	0.3641078915
970	0.3640812717
971	0.3640557201
972	0.364029139
973	0.3639763262
974	0.3634819012
975	0.3634550859
976	0.3634278843
977	0.3634011285
978	0.3633746193
979	0.3633476607
980	0.3632024174
981	0.3631753893
982	0.3631486435
983	0.3631216068
984	0.363095914
985	0.3630692671
986	0.363042451
987	0.3630157015
988	0.3629890948
989	0.3625557648
990	0.3625289376
991	0.362502298
992	0.362475581
993	0.3624488341
994	0.3624222977
995	0.3623956896
996	0.3623449533
997	0.3623184441
998	0.3622918404
999	0.3622650969
